IDX,Year,Month,Quarter,HKD,USD,Non-USD Foregin Currencies,All Foreign Currencies,All Currencies
1,1997,04,2,1520312,556364.052,574138.526,1130502.578,2650814.578
2,1997,05,2,1550893.734,547411.966,587277.355,1134689.321,2685583.055
3,1997,06,2,1584991.829,537238.951,584766.079,1122005.03,2706996.859
4,1997,07,3,1618802.942,547637.792,565585.987,1113223.779,2732026.721
5,1997,08,3,1600805.474,550689.865,565167.923,1115857.788,2716663.262
6,1997,09,3,1616835.071,572148.183,581766.535,1153914.718,2770749.789
7,1997,10,4,1558612.37,617458.2,577941.598,1195399.798,2754012.168
8,1997,11,4,1536630.601,640014.272,536153.022,1176167.294,2712797.895
9,1997,12,4,1551554.891,635764.198,522963.31,1158727.508,2710282.399
10,1998,01,1,1522928.71,666094.111,532147.259,1198241.37,2721170.08
11,1998,02,1,1563792.277,661856.096,540180.901,1202036.997,2765829.274
12,1998,03,1,1580248.602,658495.328,539515.646,1198010.974,2778259.576
13,1998,04,2,1586246.54,647169.21,534815.836,1181985.046,2768231.586
14,1998,05,2,1564284.252,640890.716,525998.951,1166889.667,2731173.919
15,1998,06,2,1574185.764,657242.605,508086.207,1165328.812,2739514.576
16,1998,07,3,1636447.272,696296.736,511311.041,1207607.777,2844055.049
17,1998,08,3,1657800.619,725571.006,503642.201,1229213.207,2887013.826
18,1998,09,3,1657525.91,753664.015,514727.011,1268391.026,2925916.936
19,1998,10,4,1687795.47,776036.428,528788.25,1304824.678,2992620.148
20,1998,11,4,1691825.656,776059.001,510731.028,1286790.029,2978615.685
21,1998,12,4,1699725.53,752694.459,547607.238,1300301.697,3000027.227
22,1999,01,1,1689182.629,776093.107,547819.74,1323912.847,3013095.476
23,1999,02,1,1685866.898,769795.192,533824.07,1303619.262,2989486.16
24,1999,03,1,1703284.761,771668.852,541112.836,1312781.688,3016066.449
25,1999,04,2,1727542.771,763950.702,549063.626,1313014.328,3040557.099
26,1999,05,2,1718356.401,765350.202,544308.106,1309658.308,3028014.709
27,1999,06,2,1716767.229,782028.138,549177.858,1331205.996,3047973.225
28,1999,07,3,1715442.342,799267.851,573696.635,1372964.486,3088406.828
