IDX,Year,Month,Quarter,Demand and Saving,Time,Total,Number of AIs Support
1,2004,02,1,704,191,895,32
2,2004,03,1,2095,2298,4394,36
3,2004,04,2,2506,3040,5546,36
4,2004,05,2,2748,3551,6298,37
5,2004,06,2,2853,3950,6803,39
6,2004,07,3,2933,4243,7177,39
7,2004,08,3,3025,4430,7455,38
8,2004,09,3,3136,4533,7669,38
9,2004,10,4,3604,4829,8433,38
10,2004,11,4,4805,5777,10582,38
11,2004,12,4,5417,6710,12127,38
12,2005,01,1,5732,7412,13144,38
13,2005,02,1,5992,7875,13867,38
14,2005,03,1,6440,8536,14976,38
15,2005,04,2,7182,9484,16666,38
16,2005,05,2,8608,10706,19314,39
17,2005,06,2,9358,11540,20898,39
18,2005,07,3,9753,12149,21901,39
19,2005,08,3,10080,12331,22412,38
20,2005,09,3,10219,12425,22643,38
21,2005,10,4,10288,12226,22514,38
22,2005,11,4,10439,12063,22503,38
23,2005,12,4,10620,11966,22586,38
24,2006,01,1,10525,12012,22537,38
25,2006,02,1,10709,11891,22600,39
26,2006,03,1,10682,11776,22458,39
27,2006,04,2,11026,11685,22710,39
28,2006,05,2,11267,11591,22859,39
29,2006,06,2,11285,11427,22712,39
30,2006,07,3,11327,11365,22692,40
31,2006,08,3,11350,11366,22716,40
32,2006,09,3,11355,11264,22619,40
33,2006,10,4,11443,11142,22585,39
34,2006,11,4,11733,11103,22836,38
35,2006,12,4,12228,11175,23403,38
36,2007,01,1,12866,11339,24205,38
37,2007,02,1,13516,11393,24908,38
38,2007,03,1,13643,11595,25238,38
39,2007,04,2,13924,11561,25484,38
40,2007,05,2,14419,11737,26156,38
41,2007,06,2,17228,10391,27618,38
42,2007,07,3,17341,10525,27866,38
43,2007,08,3,18348,9993,28341,38
44,2007,09,3,18458,9045,27503,37
45,2007,10,4,18704,9546,28250,37
46,2007,11,4,20303,9913,30216,37
47,2007,12,4,22539,10861,33400,37
48,2008,01,1,27761,12668,40429,38
49,2008,02,1,32786,15036,47822,38
50,2008,03,1,39364,18221,57585,40
51,2008,04,2,53104,23501,76605,40
52,2008,05,2,51979,25696,77675,40
53,2008,06,2,51242,26398,77640,40
54,2008,07,3,51892,25171,77063,40
55,2008,08,3,47098,24050,71148,40
56,2008,09,3,47508,22443,69951,40
57,2008,10,4,44196,21876,66072,40
58,2008,11,4,41490,20439,61929,40
59,2008,12,4,38118,17942,56060,39
60,2009,01,1,36636,17749,54385,39
61,2009,02,1,35958,18015,53973,39
62,2009,03,1,35166,17944,53110,39
63,2009,04,2,34934,18086,53020,39
64,2009,05,2,35085,18364,53449,40
65,2009,06,2,35924,18457,54381,40
66,2009,07,3,37461,18431,55892,41
67,2009,08,3,38727,17924,56651,43
68,2009,09,3,40558,17616,58174,44
69,2009,10,4,39011,18251,57262,45
70,2009,11,4,39963,20420,60383,47
71,2009,12,4,40662,22056,62718,60
72,2010,01,1,41227,22723,63950,65
73,2010,02,1,42499,23593,66092,71
74,2010,03,1,44609,26145,70755,73
75,2010,04,2,50237,30657,80894,72
76,2010,05,2,51266,34345,85611,76
77,2010,06,2,52427,37275,89702,77
78,2010,07,3,55724,47960,103684,77
79,2010,08,3,62864,67548,130412,84
80,2010,09,3,71948,77378,149326,92
81,2010,10,4,93657,123469,217126,98
82,2010,11,4,108820,170777,279597,105
83,2010,12,4,117573,197365,314938,111
84,2011,01,1,127357,243278,370635,113
85,2011,02,1,137503,270236,407739,115
86,2011,03,1,137454,313965,451419,118
87,2011,04,2,161776,348972,510748,121
88,2011,05,2,175931,372898,548829,123
89,2011,06,2,180346,373256,553602,128
90,2011,07,3,184759,387418.411,572176.943,128
91,2011,08,3,174565,434469,609034,131
92,2011,09,3,191528,430708,622236,131
93,2011,10,4,189493,429054,618546,131
94,2011,11,4,186986,440317,627302,132
95,2011,12,4,176398,412132,588529,133
96,2012,01,1,165456,410504,575960,134
97,2012,02,1,159797,406360,566157,135
98,2012,03,1,156789,397528,554317,135
99,2012,04,2,153781,398591,552372,135
100,2012,05,2,147162,406697,553858,134
101,2012,06,2,136616,421094,557710,133
102,2012,07,3,131740,431409,563150,134
103,2012,08,3,127100,425156,552256,135
104,2012,09,3,118997,426703,545701,136
105,2012,10,4,119827,434950,554777,138
106,2012,11,4,122895,448132,571028,138
107,2012,12,4,123542,479453,602996,139
108,2013,01,1,125478,498500,623978,140
109,2013,02,1,139402,512320,651721,140
110,2013,03,1,144314,523744,668058,140
111,2013,04,2,140844,536315,677158,140
112,2013,05,2,141658,556823,698481,140
113,2013,06,2,127512,570447.012,697959.04,140
114,2013,07,3,128207,566835,695042,142
115,2013,08,3,133489,575973,709463,143
116,2013,09,3,135217,594801,730018,143
117,2013,10,4,142522,639102,781624,143
118,2013,11,4,150381,676614,826995,144
119,2013,12,4,151055,709417,860472,146
120,2014,01,1,154357,739002,893359,145
121,2014,02,1,160592.815,759751.928,920344.743,146
122,2014,03,1,167081.569,777828.099,944909.668,147
