IDX,Year,Month,Quarter,Overnight,1-week,1-month,3-month,6-month,9-month,12-month
2,1996,07,3,,,5.483696087,5.684783478,5.916101739,6.102581739,6.299933478
3,1996,08,3,,,5.337940952,5.573660476,5.821057143,6.011161429,6.203497143
4,1996,09,3,,,5.420787143,5.657052857,5.926053333,6.121253333,6.306309524
5,1996,10,4,,,5.339490455,5.560014545,5.754616818,5.973398636,6.166549545
6,1996,11,4,,,5.39397381,5.555804286,5.712098571,5.890624762,6.082143333
7,1996,12,4,,,5.574578,5.639454,5.735549,5.920705,6.1101565
8,1997,01,1,,,5.254334091,5.474788636,5.642400909,5.827415,6.030895455
9,1997,02,1,,,5.467882778,5.577691667,5.720487222,5.910591667,6.096788889
10,1997,03,1,,,5.643504737,5.754112105,5.914474211,6.096628421,6.282480526
11,1997,04,2,,,5.80753,5.959162273,6.182529091,6.365768182,6.549007273
12,1997,05,2,,,5.954545909,6.118963636,6.251066364,6.422231364,6.597303182
13,1997,06,2,,,6.419408947,6.475741053,6.557155263,6.635692105,6.71135
14,1997,07,3,,,6.432665238,6.523066667,6.609747143,6.724702857,6.82440619
15,1997,08,3,,,7.525,7.4396205,7.4232145,7.4752235,7.549778
16,1997,09,3,,,7.606824286,7.600446667,7.597576667,7.630953333,7.651148095
17,1997,10,4,,,11.9752245,11.025793,10.6226565,10.389285,10.283595
18,1997,11,4,,,10.4779015,11.510268,11.733036,11.759375,11.79375
19,1997,12,4,,,7.569301905,9.510842381,10.71556048,11.05123333,11.32036619
20,1998,01,1,,,12.34201444,13.07291778,13.59846111,13.74156833,13.85292667
21,1998,02,1,,,6.8595975,8.6689735,9.7723225,10.334597,10.779018
22,1998,03,1,,,5.876827273,6.996144545,7.99858,8.55844,9.084616818
23,1998,04,2,,,5.632517895,6.434210526,7.320019474,7.891682105,8.366543158
24,1998,05,2,,,7.120747143,7.441538571,8.182185714,8.787202381,9.304633333
25,1998,06,2,,,10.12236227,10.15280045,10.614245,11.00771045,11.36140409
26,1998,07,3,,,7.997565455,8.721589545,9.741679545,10.30905136,10.73437591
27,1998,08,3,,,12.12755,11.83758571,12.13924238,12.28401286,12.41985476
28,1998,09,3,,,8.778815455,9.632305909,10.36444727,10.74918864,11.08705273
29,1998,10,4,,,5.952131667,6.744792222,7.393105556,7.812251667,8.207835556
30,1998,11,4,,,5.57366,6.248618095,6.84268619,7.289327619,7.683460476
31,1998,12,4,,,5.467228182,5.742287727,6.228085909,6.730925909,7.137581818
32,1999,01,1,,,5.610044,6.091071,6.5977675,6.9772325,7.3301345
33,1999,02,1,,,5.690257647,6.141019412,6.768644706,7.186974706,7.563550588
34,1999,03,1,,,5.270963043,5.685461304,6.317546087,6.895380435,7.362772609
35,1999,04,2,,,4.977796316,5.281837368,5.630052105,6.120301053,6.535480526
