IDX,Year,Month,Quarter,1-week,1-month,3-month,6-month,12-month, Saving Deposit Rate,Best Lending Rate
2,1980,01,1,9.25,,9.25,9.25,11.5,9.25,14.5
3,1980,02,1,9.25,,9.25,9.25,11.5,9.25,14.5
4,1980,03,1,10.1,,10.1,10.1,12.52,10.1,15.52
5,1980,04,2,10.5,,10.5,10.5,13,10.5,16
6,1980,05,2,10.21,,10.21,10.21,12.71,10.21,15.71
7,1980,06,2,7.28,,7.28,8.73,9.78,7.28,12.78
8,1980,07,3,6.31,,6.44,7.87,8.87,6.31,11.74
9,1980,08,3,5,,6,7,8,5,10
10,1980,09,3,5.37,,6.37,7.37,8.37,5.37,10.37
11,1980,10,4,6.31,,7.71,8.71,9.71,6.31,11.71
12,1980,11,4,8.37,,9.97,10.97,11.87,8.37,13.97
13,1980,12,4,10.74,,12.74,13.74,14.24,10.74,16.74
14,1981,01,1,11,,13,14,13.85,11,17
15,1981,02,1,11,,13,14,13.5,11,17
16,1981,03,1,11,,13,14,13.5,11,17
17,1981,04,2,11,,13,14,13.5,11,17
18,1981,05,2,11,,13,14,13.5,11,17
19,1981,06,2,11,,13,14,13.5,11,17
20,1981,07,3,11.35,,13.35,14.35,13.85,11.35,17.35
21,1981,08,3,12,,14,15,14.5,12,18
22,1981,09,3,12,,14,15,14.5,12,18
23,1981,10,4,13.21,,15.61,16.61,15.71,13.21,19.61
24,1981,11,4,12.48,,15.22,15.48,14.86,12.48,18.73
25,1981,12,4,10.19,,12.69,12.69,12.24,10.19,16.19
26,1982,01,1,10,,12.5,12.5,12,10,16
27,1982,02,1,10,,12.5,12.5,12,10,16
28,1982,03,1,10,,12.5,12.5,12,10,16
29,1982,04,2,10,,12.5,12.5,12,10,16
30,1982,05,2,9.97,,12.47,12.47,11.97,9.97,15.97
31,1982,06,2,9,,11.5,11.5,11,9,15
32,1982,07,3,8.81,,11.4,11.4,10.9,8.81,14.81
33,1982,08,3,7.55,10.05,10.55,10.55,10.05,7.55,13.55
34,1982,09,3,6,8.5,9,9,8.5,6,12
35,1982,10,4,6,8.5,9,9,8.5,6,12
36,1982,11,4,5.93,8.43,8.93,8.93,8.47,5.93,11.93
37,1982,12,4,4.98,7.47,7.97,7.98,8,4.98,10.97
38,1983,01,1,4.75,7,7.5,7.75,8,4.75,10.5
39,1983,02,1,4.75,7,7.5,7.75,8,4.75,10.5
40,1983,03,1,4.75,7,7.5,7.75,8,4.75,10.5
41,1983,04,2,5.03,7.37,7.87,8.12,8.37,5.03,10.87
42,1983,05,2,6.02,8.52,9.02,9.27,9.52,6.02,12.02
43,1983,06,2,7.5,10,10.5,10.75,11,7.5,13.5
44,1983,07,3,6.44,8.94,9.44,9.69,9.94,6.44,12.44
45,1983,08,3,5.5,8,8.5,8.75,9,5.5,11.5
46,1983,09,3,7,9.37,9.87,10.25,10.5,7,13
47,1983,10,4,9.92,11.3,11.68,12.65,12.85,9.84,15.84
48,1983,11,4,8.53,9.04,9.03,8.78,8.53,8.03,13.55
49,1983,12,4,8.5,9,9,8.75,8.5,8,13.5
50,1984,01,1,8.15,8.65,8.65,8.41,8.23,7.65,13.15
51,1984,02,1,5.72,6.22,6.22,6.22,6.22,5.22,10.72
52,1984,03,1,4.55,5.05,5.05,5.05,5.05,4.05,9.32
53,1984,04,2,5.73,6.23,6.23,6.23,6.23,5.23,10.73
54,1984,05,2,6.77,7.27,7.63,7.63,7.63,6.27,11.81
55,1984,06,2,7.63,8.13,8.63,8.63,8.63,7.13,12.88
56,1984,07,3,10.92,11.42,11.92,11.92,11.92,10.42,16.37
57,1984,08,3,9.34,9.84,10.34,10.34,10.34,8.84,14.84
58,1984,09,3,8.5,9,9.5,9.5,9.5,8,14
59,1984,10,4,7.45,7.95,8.45,8.45,8.45,6.95,12.9
60,1984,11,4,6.92,7.42,7.92,7.92,7.92,6.42,11.92
61,1984,12,4,6.37,6.87,7.37,7.37,7.37,5.87,11.37
62,1985,01,1,5.65,6.15,6.58,6.58,6.58,5.15,10.65
63,1985,02,1,5,5.5,5.5,5.5,5.5,4.5,10
64,1985,03,1,5,5.5,5.5,5.5,5.5,4.5,10
65,1985,04,2,4.35,4.85,4.85,4.85,4.85,3.93,9.35
66,1985,05,2,3.81,4.31,4.31,4.31,4.31,3.56,8.81
67,1985,06,2,3.38,3.88,3.88,3.88,3.88,3.13,8.38
68,1985,07,3,2.52,3.02,3.15,3.15,3.5,2.27,7.03
69,1985,08,3,2,2.5,2.75,2.75,3.5,1.75,6
70,1985,09,3,2.48,2.98,3.23,3.23,3.98,2.23,6.97
71,1985,10,4,2.5,3,3.25,3.25,4,2.25,7
72,1985,11,4,2.5,3,3.25,3.25,4,2.25,7
73,1985,12,4,2.5,3,3.25,3.25,4,2.25,7
74,1986,01,1,2.5,3,3.25,3.25,4,2.25,7
75,1986,02,1,2.5,3,3.25,3.25,4,2.25,7
76,1986,03,1,2.5,3,3.25,3.25,4,2.25,7
77,1986,04,2,3.25,3.75,4.25,4.25,5,3,8
78,1986,05,2,3.09,3.59,4.09,4.09,4.84,2.84,7.68
79,1986,06,2,3,3.5,4,4,4.75,2.75,7.5
80,1986,07,3,3,3.5,4,4,4.75,2.75,7.5
81,1986,08,3,2.61,3.11,3.61,3.61,4.36,2.36,6.98
82,1986,09,3,2.25,2.75,3.25,3.25,4,2,6.5
83,1986,10,4,2.25,2.75,3.25,3.25,4,2,6.5
84,1986,11,4,2.25,2.75,3.25,3.25,4,2,6.5
85,1986,12,4,2.25,2.75,3.25,3.25,4,2,6.5
86,1987,01,1,1.7,2.2,2.84,2.84,3.73,1.59,5.68
87,1987,02,1,1.25,1.75,2.5,2.5,3.5,1.25,5
88,1987,03,1,1.73,2.23,2.98,2.98,3.74,1.73,5.97
89,1987,04,2,2.15,2.65,3.2,3.2,3.95,1.95,6.4
90,1987,05,2,2.25,2.75,3.25,3.25,4,2,6.5
91,1987,06,2,2.81,3.31,3.88,3.88,4.63,2.56,7.13
92,1987,07,3,3,3.5,4.25,4.25,5,2.75,7.5
93,1987,08,3,3,3.5,4.25,4.25,5,2.75,7.5
94,1987,09,3,3,3.5,4.25,4.25,5,2.75,7.5
95,1987,10,4,3.21,3.71,4.57,4.57,5.32,2.96,7.82
96,1987,11,4,1.99,2.49,3.24,3.24,3.99,1.74,6.48
97,1987,12,4,0.74,1.44,2.19,2.19,2.94,1.5,5.6
98,1988,01,1,0.5,1.08,1.83,2,2.75,1.33,5.33
99,1988,02,1,1.02,1.52,2.14,2.39,3.14,1.38,5.64
100,1988,03,1,1.5,2,2.5,2.75,3.5,1.5,6
101,1988,04,2,1.83,2.33,2.83,3.08,3.83,1.83,6.33
102,1988,05,2,2.56,3.24,3.74,3.99,4.74,2.56,7.24
103,1988,06,2,3.1,3.85,4.35,4.6,5.35,3.1,7.85
104,1988,07,3,3.86,4.61,5.11,5.36,6.11,3.86,8.61
105,1988,08,3,4.52,5.27,5.77,6.02,6.77,4.52,9.27
106,1988,09,3,4.75,5.5,6,6.25,7,4.75,9.5
107,1988,10,4,4.75,5.5,6,6.25,7,4.75,9.5
108,1988,11,4,4.75,5.5,6,6.25,7,4.75,9.5
109,1988,12,4,5.19,5.94,6.44,6.69,7.44,5.19,9.94
110,1989,01,1,5.25,6,6.5,6.75,7.5,5.25,10
111,1989,02,1,5.54,6.29,6.79,7.04,7.79,5.54,10.29
112,1989,03,1,6.36,7.11,7.61,7.86,8.61,6.36,11.11
113,1989,04,2,6.75,7.5,8,8.25,9,6.75,11.5
114,1989,05,2,6.75,7.5,8,8.25,9,6.75,11.5
115,1989,06,2,6.57,7.32,7.82,8.07,8.82,6.57,11.32
116,1989,07,3,5.9,6.65,7.15,7.4,8.15,5.9,10.65
117,1989,08,3,5.35,6.1,6.6,6.85,7.6,5.35,10.1
118,1989,09,3,5.25,6,6.5,6.75,7.5,5.25,10
119,1989,10,4,5.25,6,6.5,6.75,7.5,5.25,10
120,1989,11,4,5.25,6,6.5,6.75,7.5,5.25,10
121,1989,12,4,5.25,6,6.5,6.75,7.5,5.25,10
122,1990,01,1,5.25,6,6.5,6.75,7.5,5.25,10
123,1990,02,1,5.25,6,6.5,6.75,7.5,5.25,10
124,1990,03,1,5.47,6.22,6.72,6.97,7.72,5.47,10
125,1990,04,2,6.47,7.22,7.72,7.97,8.72,6.47,10.97
126,1990,05,2,6.5,7.25,7.75,8,8.75,6.5,11
127,1990,06,2,6.5,7.25,7.75,8,8.75,6.5,11
128,1990,07,3,6.5,7.25,7.75,8,8.75,6.5,11
129,1990,08,3,6.19,6.94,7.44,7.69,8.44,6.19,10.69
130,1990,09,3,6,6.75,7.25,7.5,8.25,6,10.5
131,1990,10,4,5.84,6.59,7.09,7.34,8.09,5.84,10.34
132,1990,11,4,5.5,6.25,6.75,7,7.75,5.5,10
133,1990,12,4,5.5,6.25,6.75,7,7.75,5.5,10
134,1991,01,1,5.44,6.19,6.69,6.94,7.69,5.44,9.94
135,1991,02,1,5,5.75,6.25,6.5,7.25,5,9.5
136,1991,03,1,5,5.75,6.25,6.5,7.25,5,9.5
137,1991,04,2,5,5.75,6.25,6.5,7.25,5,9.5
138,1991,05,2,5.16,5.91,6.41,6.66,7.41,5.16,9.66
139,1991,06,2,6,6.75,7.25,7.5,8.25,6,10.5
140,1991,07,3,5,5.75,6.25,6.5,7.25,5,9.5
141,1991,08,3,4.68,5.43,5.93,6.18,6.93,4.68,9.5
142,1991,09,3,4.25,5,5.5,5.75,6.5,4.25,9.25
