IDX,Year,Month,Quarter,1-week,1-month,3-month,6-month,12-month, Saving Deposite Rate
2,2004,03,1,0.51,0.57,0.57,,,0.508571429
3,2004,04,2,0.51,0.57,0.58,,,0.508571429
4,2004,05,2,0.51,0.57,0.58,,,0.508571429
5,2004,06,2,0.52,0.59,0.59,,,0.479735714
6,2004,07,3,0.51,0.59,0.59,0.68,,0.47875
7,2004,08,3,0.51,0.61,0.61,0.7,,0.47875
8,2004,09,3,0.51,0.61,0.61,0.7,,0.47875
9,2004,10,4,0.51,0.6,0.6,0.69,,0.4615625
10,2004,11,4,0.51,0.6,0.6,0.69,,0.459278846
11,2004,12,4,0.51,0.6,0.6,0.69,,0.46115
12,2005,01,1,0.53,0.63,0.64,0.7,,0.4625
13,2005,02,1,0.53,0.64,0.65,0.71,,0.4625
14,2005,03,1,0.53,0.64,0.65,0.71,,0.4625
15,2005,04,2,0.53,0.64,0.65,0.71,,0.4625
16,2005,05,2,0.53,0.64,0.65,0.71,,0.4625
17,2005,06,2,0.53,0.64,0.65,0.71,,0.4625
18,2005,07,3,0.53,0.64,0.65,0.71,,0.4625
19,2005,08,3,0.53,0.64,0.65,0.71,,0.4625
20,2005,09,3,0.53,0.64,0.65,0.71,,0.4625
21,2005,10,4,0.53,0.64,0.65,0.71,,0.4625
22,2005,11,4,0.53,0.64,0.65,0.71,,0.4625
23,2005,12,4,0.53,0.64,0.65,0.71,,0.4625
24,2006,01,1,0.53,0.64,0.65,0.71,,0.4625
25,2006,02,1,0.53,0.64,0.65,0.71,,0.4625
26,2006,03,1,0.53,0.64,0.65,0.71,,0.4625
27,2006,04,2,0.53,0.64,0.65,0.71,,0.4625
28,2006,05,2,0.53,0.64,0.65,0.71,,0.4625
29,2006,06,2,0.53,0.64,0.65,0.71,,0.4625
30,2006,07,3,0.53,0.64,0.65,0.71,,0.4625
31,2006,08,3,0.53,0.64,0.65,0.71,,0.4625
32,2006,09,3,0.53,0.64,0.65,0.71,,0.4625
33,2006,10,4,0.53,0.64,0.65,0.71,,0.4625
34,2006,11,4,0.53,0.64,0.65,0.71,,0.4625
35,2006,12,4,0.53,0.64,0.65,0.71,,0.4625
36,2007,01,1,0.53,0.64,0.65,0.71,,0.4625
