IDX,Period,time_start,time_end,month_start,month_end,year_start,year_end,quarter,Labor Force,Labour Force Rate,Employed Persons,Unemployed Persons,Unemployment Rate,Underemployment Rate,Underemployment Persons
1,1/1985 - 3/1985,31048, 3/1985,1,3,1985,1985,1,2594.4,64.7,2516.8,77.6,3,1.5,39.7
4,4/1985 - 6/1985,31138, 6/1985,4,6,1985,1985,2,2632.2,64.9,2557.8,74.5,2.8,1.5,40.4
7,7/1985 - 9/1985,31229, 9/1985,7,9,1985,1985,3,2637.1,65,2542,95.1,3.6,2.1,55.4
10,10/1985 - 12/1985,31321,31382,10,12,1985,1985,4,2644.1,64.7,2556.7,87.3,3.3,2.3,62.1
13,1/1986 - 3/1986,31413, 3/1986,1,3,1986,1986,1,2656,64.6,2572.7,83.2,3.1,2.3,61.7
16,4/1986 - 6/1986,31503, 6/1986,4,6,1986,1986,2,2704.9,65.4,2624,80.9,3,1.9,52.1
19,7/1986 - 9/1986,31594, 9/1986,7,9,1986,1986,3,2718.6,65.4,2637.3,81.2,3,1.3,36.5
22,10/1986 - 12/1986,31686,31747,10,12,1986,1986,4,2719.4,65,2660.6,58.9,2.2,1.2,31.8
25,1/1987 - 3/1987,31778, 3/1987,1,3,1987,1987,1,2661.7,64.2,2611.1,50.6,1.9,1,25.4
28,4/1987 - 6/1987,31868, 6/1987,4,6,1987,1987,2,2716.3,64.5,2675.1,41.2,1.5,1.1,29.4
31,7/1987 - 9/1987,31959, 9/1987,7,9,1987,1987,3,2751.9,65.2,2702,49.9,1.8,1,26.8
34,10/1987 - 12/1987,32051,32112,10,12,1987,1987,4,2782.9,65.6,2735.2,47.7,1.7,1,28.4
37,1/1988 - 3/1988,32143, 3/1988,1,3,1988,1988,1,2739.3,64.4,2702.4,36.9,1.3,0.9,25.1
40,4/1988 - 6/1988,32234, 6/1988,4,6,1988,1988,2,2745.7,64.3,2702.9,42.8,1.6,0.7,18.8
43,7/1988 - 9/1988,32325, 9/1988,7,9,1988,1988,3,2775.4,65,2734.7,40.7,1.5,0.6,15.3
46,10/1988 - 12/1988,32417,32478,10,12,1988,1988,4,2790.8,64.9,2760.2,30.6,1.1,0.7,18.3
49,1/1989 - 3/1989,32509, 3/1989,1,3,1989,1989,1,2761.4,64.1,2734.3,27,1,0.8,21
52,4/1989 - 6/1989,32599, 6/1989,4,6,1989,1989,2,2736,63.3,2705.1,30.8,1.1,0.8,22.6
55,7/1989 - 9/1989,32690, 9/1989,7,9,1989,1989,3,2742.6,63.7,2710.1,32.5,1.2,0.6,17.3
58,10/1989 - 12/1989,32782,32843,10,12,1989,1989,4,2771.3,63.8,2742.9,28.4,1,0.8,22.6
61,1/1990 - 3/1990,32874, 3/1990,1,3,1990,1990,1,2743.5,63.4,2705.6,37.9,1.4,0.7,18.1
64,4/1990 - 6/1990,32964, 6/1990,4,6,1990,1990,2,2737.7,63,2701.8,36,1.3,0.9,25.8
67,7/1990 - 9/1990,33055, 9/1990,7,9,1990,1990,3,2736.4,63.1,2695.3,41.1,1.5,1,28.5
70,10/1990 - 12/1990,33147,33208,10,12,1990,1990,4,2774.7,63.4,2743.5,31.2,1.1,0.8,21.4
73,1/1991 - 3/1991,33239, 3/1991,1,3,1991,1991,1,2782.5,63.5,2741.4,41.1,1.5,1.5,43
76,4/1991 - 6/1991,33329, 6/1991,4,6,1991,1991,2,2790.6,63.3,2732.3,58.3,2.1,1.7,46.7
79,7/1991 - 9/1991,33420, 9/1991,7,9,1991,1991,3,2805.8,63.6,2751.3,54.5,1.9,1.5,43.3
82,10/1991 - 12/1991,33512,33573,10,12,1991,1991,4,2837.6,63.7,2789.8,47.8,1.7,1.6,45.3
85,1/1992 - 3/1992,33604, 3/1992,1,3,1992,1992,1,2785.8,62.6,2727.4,58.3,2.1,2.2,62.1
88,4/1992 - 6/1992,33695, 6/1992,4,6,1992,1992,2,2801.3,62.7,2743.8,57.4,2.1,2.2,62
91,7/1992 - 9/1992,33786, 9/1992,7,9,1992,1992,3,2765,61.9,2718.6,46.4,1.7,1.9,52.5
94,10/1992 - 12/1992,33878,33939,10,12,1992,1992,4,2817.1,62.1,2760.6,56.5,2,2,56.6
97,1/1993 - 3/1993,33970, 3/1993,1,3,1993,1993,1,2834,62.6,2773.1,60.9,2.1,1.6,45.9
100,4/1993 - 6/1993,34060, 6/1993,4,6,1993,1993,2,2832.1,62,2775.2,56.9,2,2,56.7
103,7/1993 - 9/1993,34151, 9/1993,7,9,1993,1993,3,2848.3,62.2,2794.6,53.7,1.9,1.3,37.6
106,10/1993 - 12/1993,34243,34304,10,12,1993,1993,4,2911.2,62.6,2857.5,53.7,1.8,1.5,43.3
109,1/1994 - 3/1994,34335, 3/1994,1,3,1994,1994,1,2904.3,62.1,2848.2,56.1,1.9,1.7,49.6
112,4/1994 - 6/1994,34425, 6/1994,4,6,1994,1994,2,2918,62,2871,47.1,1.6,1.3,38
115,7/1994 - 9/1994,34516, 9/1994,7,9,1994,1994,3,2921.2,61.8,2855.1,66.1,2.3,1.1,32.1
118,10/1994 - 12/1994,34608,34669,10,12,1994,1994,4,2972.4,62.1,2916.9,55.5,1.9,1.5,46
121,1/1995 - 3/1995,34700, 3/1995,1,3,1995,1995,1,2929.1,61.6,2851.8,77.3,2.6,1.4,42
124,4/1995 - 6/1995,34790, 6/1995,4,6,1995,1995,2,3009.1,62.2,2920.5,88.6,2.9,2.1,63.5
127,7/1995 - 9/1995,34881, 9/1995,7,9,1995,1995,3,3018.4,62.2,2907.4,111,3.7,2.5,74.6
130,10/1995 - 12/1995,34973,35034,10,12,1995,1995,4,3046.2,61.9,2940.6,105.6,3.5,2.3,70.9
133,1/1996 - 3/1996,35065, 3/1996,1,3,1996,1996,1,3065.3,62,2973.5,91.8,3,2,60.1
136,4/1996 - 6/1996,35156, 6/1996,4,6,1996,1996,2,3191.8,61.8,3099,92.8,2.9,1.8,56
139,7/1996 - 9/1996,35247, 9/1996,7,9,1996,1996,3,3179.4,61.3,3096.5,82.9,2.6,1.3,42.5
142,10/1996 - 12/1996,35339,35400,10,12,1996,1996,4,3206.5,61.5,3124.3,82.3,2.6,1.5,49.3
145,1/1997 - 3/1997,35431, 3/1997,1,3,1997,1997,1,3216.1,61.3,3144.6,71.5,2.2,1.1,34.3
148,4/1997 - 6/1997,35521, 6/1997,4,6,1997,1997,2,3213.1,61.1,3144.8,68.2,2.1,1.2,39.1
151,7/1997 - 9/1997,35612, 9/1997,7,9,1997,1997,3,3213.3,60.9,3143.8,69.6,2.2,1,32.5
154,10/1997 - 12/1997,35704,35765,10,12,1997,1997,4,3296.9,62.1,3221.3,75.6,2.3,1.3,42.5
157,1/1998 - 3/1998,35796, 3/1998,1,3,1998,1998,1,3246.8,61.1,3141.2,105.6,3.3,1.9,62.2
160,4/1998 - 6/1998,35886, 6/1998,4,6,1998,1998,2,3257.7,61.1,3117.4,140.3,4.3,2.5,82.6
163,7/1998 - 9/1998,35977, 9/1998,7,9,1998,1998,3,3290.2,61.4,3114.5,175.7,5.3,2.6,86.2
166,10/1998 - 12/1998,36069,36130,10,12,1998,1998,4,3309.6,61.5,3115,194.6,5.9,2.9,96.3
169,1/1999 - 3/1999,36161, 3/1999,1,3,1999,1999,1,3296.9,61.2,3092.7,204.2,6.2,3,97.9
172,4/1999 - 6/1999,36251, 6/1999,4,6,1999,1999,2,3325.8,61.6,3123.3,202.5,6.1,2.8,94.1
175,7/1999 - 9/1999,36342, 9/1999,7,9,1999,1999,3,3315.8,61.2,3101.4,214.4,6.5,3.1,102.2
178,10/1999 - 12/1999,36434,36495,10,12,1999,1999,4,3339.8,61.3,3131.1,208.7,6.2,2.8,93.5
181,1/2000 - 3/2000,36526, 3/2000,1,3,2000,2000,1,3337.1,61.1,3154.5,182.6,5.5,2.8,93.3
184,4/2000 - 6/2000,36617, 6/2000,4,6,2000,2000,2,3365.9,61.4,3197.8,168.1,5,3.1,104.3
187,7/2000 - 9/2000,36708, 9/2000,7,9,2000,2000,3,3391.6,61.6,3224.4,167.2,4.9,2.6,87.8
190,10/2000 - 12/2000,36800,36861,10,12,2000,2000,4,3402.2,61.4,3252.5,149.6,4.4,2.6,88.7
193,1/2001 - 3/2001,36892, 3/2001,1,3,2001,2001,1,3406.5,61.4,3256.4,150.1,4.4,2.3,76.9
