IDX,Year,Month,Quarter,Licensed Banks in HK,Licensed Banks outside HK,Restricted Licence Banks in HK,Restricted Licence Banks outside HK,Deposit-taking Companies in HK,Deposit-taking Companies outside HK,All Ais,Local Representative Offices
1,1993,06,2,32,136,33,23,141,3,368,144
2,1993,07,3,32,136,33,23,141,3,368,145
3,1993,08,3,32,136,33,23,141,3,368,145
4,1993,09,3,32,138,33,23,141,3,370,146
5,1993,10,4,32,138,34,24,140,3,371,145
6,1993,11,4,32,138,34,24,140,3,371,142
7,1993,12,4,32,140,33,24,139,3,371,142
8,1994,01,1,32,141,33,24,137,3,370,144
9,1994,02,1,32,142,33,24,137,3,371,144
10,1994,03,1,32,144,32,24,137,3,372,156
11,1994,04,2,32,145,32,25,137,3,374,155
12,1994,05,2,32,147,34,25,136,3,377,158
13,1994,06,2,32,146,34,25,136,3,376,159
14,1994,07,3,32,147,34,25,136,3,377,163
15,1994,08,3,32,147,34,26,136,3,378,165
16,1994,09,3,32,147,35,26,136,3,379,160
17,1994,10,4,32,146,35,27,136,3,379,158
18,1994,11,4,32,147,35,27,137,3,381,157
19,1994,12,4,32,148,35,28,134,3,380,157
20,1995,01,1,32,148,35,28,134,3,380,155
21,1995,02,1,31,148,35,28,133,3,378,160
22,1995,03,1,31,148,36,28,131,3,377,161
23,1995,04,2,31,150,36,28,131,3,379,162
24,1995,05,2,31,151,36,27,131,3,379,160
25,1995,06,2,31,152,37,27,132,3,382,161
26,1995,07,3,31,152,37,27,131,3,381,161
27,1995,08,3,31,152,37,26,131,3,380,164
28,1995,09,3,31,152,37,26,129,3,378,162
29,1995,10,4,31,154,37,26,129,3,380,159
30,1995,11,4,31,154,37,26,129,3,380,159
31,1995,12,4,31,154,37,26,129,3,380,157
32,1996,01,1,31,155,37,26,129,3,381,155
33,1996,02,1,31,155,37,25,130,3,381,156
34,1996,03,1,31,155,38,25,128,3,380,156
35,1996,04,2,31,154,37,25,127,3,377,156
36,1996,05,2,31,154,37,25,126,3,376,156
37,1996,06,2,31,153,38,25,126,3,376,154
38,1996,07,3,31,151,38,25,124,3,372,154
39,1996,08,3,31,151,38,25,124,3,372,155
40,1996,09,3,31,151,38,25,124,3,372,154
41,1996,10,4,31,151,38,24,124,3,371,155
42,1996,11,4,31,151,38,24,123,3,370,158
43,1996,12,4,31,151,38,24,121,3,368,157
44,1997,01,1,31,151,38,23,121,3,367,159
45,1997,02,1,31,151,38,23,120,3,366,159
46,1997,03,1,31,151,38,24,119,3,366,159
47,1997,04,2,31,151,38,26,119,2,367,155
48,1997,05,2,31,151,38,26,118,2,366,157
49,1997,06,2,31,151,38,26,118,2,366,160
50,1997,07,3,31,152,38,26,118,2,367,159
51,1997,08,3,31,152,38,26,118,2,367,158
52,1997,09,3,31,151,39,26,115,2,364,158
53,1997,10,4,31,150,39,27,115,2,364,157
54,1997,11,4,31,149,39,27,114,2,362,159
55,1997,12,4,31,149,39,27,113,2,361,159
56,1998,01,1,31,149,39,27,113,2,361,155
57,1998,02,1,31,149,39,27,113,2,361,153
58,1998,03,1,31,146,39,27,111,2,356,151
59,1998,04,2,31,146,39,27,111,2,356,152
60,1998,05,2,31,146,39,27,110,2,355,149
61,1998,06,2,31,144,39,26,108,2,350,149
62,1998,07,3,31,144,39,26,107,2,349,148
63,1998,08,3,31,144,39,26,106,2,348,145
64,1998,09,3,31,144,37,26,105,2,345,144
65,1998,10,4,31,144,36,26,105,2,344,143
66,1998,11,4,31,143,36,26,103,2,341,143
67,1998,12,4,31,141,35,25,99,2,333,141
68,1999,01,1,31,140,35,25,96,2,329,141
69,1999,02,1,31,138,35,25,94,2,325,138
70,1999,03,1,31,137,35,25,91,1,320,134
71,1999,04,2,31,136,35,25,89,1,317,134
72,1999,05,2,31,134,35,25,89,1,315,133
73,1999,06,2,31,135,35,24,85,1,311,131
74,1999,07,3,31,134,35,24,84,1,309,129
75,1999,08,3,31,132,35,24,82,1,305,131
76,1999,09,3,31,127,35,25,76,1,295,131
77,1999,10,4,31,127,35,25,73,1,292,130
78,1999,11,4,31,127,35,25,72,1,291,129
79,1999,12,4,31,125,33,25,71,0,285,128
80,2000,01,1,31,124,31,24,70,0,280,130
81,2000,02,1,31,125,31,23,69,0,279,129
82,2000,03,1,31,123,31,22,68,0,275,128
83,2000,04,2,31,124,30,22,69,0,276,125
84,2000,05,2,31,123,29,22,67,0,272,124
85,2000,06,2,31,122,29,21,65,0,268,124
86,2000,07,3,31,121,29,21,62,0,264,123
87,2000,08,3,31,122,29,21,62,0,265,122
88,2000,09,3,31,124,29,21,62,0,267,121
89,2000,10,4,31,124,29,21,62,0,267,121
90,2000,11,4,31,123,29,21,61,0,265,119
91,2000,12,4,31,123,28,20,61,0,263,118
92,2001,01,1,31,124,28,20,61,0,264,117
93,2001,02,1,31,123,28,20,61,0,263,119
94,2001,03,1,31,124,28,20,60,0,263,117
95,2001,04,2,31,123,28,20,59,0,261,116
96,2001,05,2,31,123,28,20,59,0,261,116
97,2001,06,2,31,122,28,20,58,0,259,115
98,2001,07,3,31,120,28,20,56,0,255,113
99,2001,08,3,30,120,28,20,56,0,254,114
100,2001,09,3,30,119,28,20,55,0,252,114
101,2001,10,4,30,119,28,20,55,0,252,114
102,2001,11,4,29,119,28,20,55,0,251,114
103,2001,12,4,29,118,29,20,54,0,250,111
104,2002,01,1,29,114,29,20,53,0,245,111
105,2002,02,1,29,114,29,20,52,0,244,106
106,2002,03,1,29,113,28,20,49,0,239,107
107,2002,04,2,28,113,29,19,48,0,237,105
108,2002,05,2,27,107,29,19,48,0,230,105
109,2002,06,2,27,106,29,19,48,0,229,102
110,2002,07,3,27,107,29,19,46,0,228,103
111,2002,08,3,27,107,29,19,45,0,227,102
112,2002,09,3,27,108,29,19,45,0,228,99
113,2002,10,4,27,108,28,19,45,0,227,97
114,2002,11,4,27,108,28,19,45,0,227,94
115,2002,12,4,26,107,28,18,45,0,224,94
116,2003,01,1,26,108,28,17,44,0,223,95
117,2003,02,1,26,109,28,18,44,0,225,93
118,2003,03,1,26,109,27,18,41,0,221,91
119,2003,04,2,26,109,27,17,41,0,220,91
120,2003,05,2,26,109,26,17,40,0,218,92
121,2003,06,2,26,110,26,16,40,0,218,92
122,2003,07,3,24,111,26,16,40,0,217,90
123,2003,08,3,24,112,26,15,40,0,217,91
124,2003,09,3,24,110,26,15,40,0,215,93
125,2003,10,4,23,110,26,15,40,0,214,91
126,2003,11,4,23,110,26,15,40,0,214,92
127,2003,12,4,23,111,26,16,39,0,215,87
128,2004,01,1,23,112,26,16,39,0,216,88
129,2004,02,1,23,112,26,16,39,0,216,88
130,2004,03,1,24,112,26,16,39,0,217,89
131,2004,04,2,24,112,26,16,37,0,215,89
132,2004,05,2,24,111,26,16,36,0,213,90
