IDX,Year,Month,Quarter,Applications Number,Approved Number,Approved Value,Average LTV,Average Contractual Life (Month),Drawn Down Number,Drawn Down Value,Not Yet Drawn Down Number,Not Yet Drawn Down Value
2,1996,06,2,,10055,15636,,,9280,14627,7099,11109
3,1996,07,3,,11207,17065,,,11873,17659,6887,10696
4,1996,08,3,,8464,11894,,,9039,13397,5683,8102
5,1996,09,3,,9804,14220,,,8220,11673,6630,9958
6,1996,10,4,,11588,18264,,,10578,15499,7179,11517
7,1996,11,4,,12965,20771,,,11180,16807,8448,13841
8,1996,12,4,,12477,20233,,,12861,19544,7529,12675
9,1997,01,1,,13444,23403,,,13014,20626,8248,14999
10,1997,02,1,,9598,18026,,,10260,18799,5882,10908
11,1997,03,1,,11723,21093,,,9659,16797,7737,14144
12,1997,04,2,,15238,28763,,,12837,22713,8927,17318
13,1997,05,2,,15838,30082,,,13662,26047,9810,18946
14,1997,06,2,,15778,31530,,,13561,25529,9764,20369
15,1997,07,3,,16174,33702,,,16716,32495,8852,19547
16,1997,08,3,,11691,25711,,,11712,24917,7859,17693
17,1997,09,3,,9688,19831,,,11928,25452,5766,11791
18,1997,10,4,,10666,21971,,,9144,17865,7018,14747
19,1997,11,4,,6311,11956,,,8343,15299,4326,8606
20,1997,12,4,,4307,8394,,,5253,9767,2464,5320
21,1998,01,1,,4445,9174,,,4267,8305,2679,5986
22,1998,02,1,,4738,9422,,,4104,8178,3023,6290
23,1998,03,1,,6837,14630,,,6012,12627,3703,8057
24,1998,04,2,,5713,10222,,,5395,10275,3445,6440
25,1998,05,2,,6269,10500,,,5636,9526,3764,6627
26,1998,06,2,,6725,11559,,,5576,9384,4233,7364
27,1998,07,3,,6559,10505,,,5831,9314,4712,7827
28,1998,08,3,,4055,6079,,,5205,8427,2516,3731
29,1998,09,3,,5646,7979,,,4677,6425,3720,5244
30,1998,10,4,,6877,9906,,,4651,6416,5182,7496
31,1998,11,4,,9524,14709,,,6938,10298,6701,10261
32,1998,12,4,,7513,11164,,,8750,13239,5033,7258
33,1999,01,1,,6412,9434,,,6054,8572,4847,7139
34,1999,02,1,,5263,7965,,,4918,7192,4062,6180
35,1999,03,1,,8447,12477,,,6512,9387,5837,8612
36,1999,04,2,,9715,14831,,,6433,9147,7133,11154
37,1999,05,2,,9547,15411,,,8980,13754,6858,11205
38,1999,06,2,,9651,15640,,,8934,14068,7317,11721
39,1999,07,3,,7064,10548,,,8150,12173,5026,7687
40,1999,08,3,,5962,8793,,,6694,9708,4390,6631
41,1999,09,3,,6663,9572,,,6171,8861,4986,7201
42,1999,10,4,,6970,9691,,,5944,8124,4970,7168
43,1999,11,4,,8749,13058,,,5748,7715,6962,10669
44,1999,12,4,,9577,14411,,,7233,10504,7211,10800
45,2000,01,1,,8941,13120,,,7474,10506,6742,10123
46,2000,02,1,,7076,10294,,,6853,9961,5253,7612
47,2000,03,1,,10720,16224,,,7535,10780,8050,12185
48,2000,04,2,,8639,13049,,,7300,10095,6484,10005
49,2000,05,2,,8835,13304,,,6793,9727,6773,10380
50,2000,06,2,,8786,12362,,,7037,10093,6975,9847
51,2000,07,3,,9360,13117,,,7426,10058,7196,10371
52,2000,08,3,,7615,10595,,,8205,11452,5207,7280
53,2000,09,3,,7105,9977,,,6337,8554,5272,7503
54,2000,10,4,,7437,10882,,,6423,8910,5211,7580
55,2000,11,4,,5626,7833,,,6733,9552,3418,4612
56,2000,12,4,,4959,6507,,,5223,6774,3381,4464
57,2001,01,1,,5271,7329,,,4349,5710,3907,5506
58,2001,02,1,,6048,8396,,,4764,6603,4636,6387
59,2001,03,1,,9266,12400,,,6414,8609,6623,8923
60,2001,04,2,,6816,8736,,,6931,8978,4680,5898
61,2001,05,2,,8634,11192,,,6842,8746,6167,7900
62,2001,06,2,,8315,11627,,,7970,10064,5495,7837
63,2001,07,3,,7721,11555,,,7498,11076,4973,7101
64,2001,08,3,,7117,9506,,,8600,11778,4329,5674
65,2001,09,3,,6315,8416,,,6083,8037,3969,5220
66,2001,10,4,,6924,8156,,,5591,6964,4710,5531
67,2001,11,4,,9707,12140,,,7056,8273,6290,8074
68,2001,12,4,,8341,12692,,,8391,11677,4779,7102
69,2002,01,1,,9095,12816,,,8831,11467,5542,7560
70,2002,02,1,,5946,8184,,,6204,7947,3856,5413
71,2002,03,1,,6746,9327,,,5951,8206,4433,6002
72,2002,04,2,,8558,11081,,,6885,8816,5768,7440
73,2002,05,2,,9410,12187,,,7993,10209,6219,8039
74,2002,06,2,,7434,9402,,,8105,10458,4660,5729
75,2002,07,3,,6608,7409,,,6570,7290,4046,4563
76,2002,08,3,,6202,7530,,,5519,6139,4127,5125
77,2002,09,3,,6808,9007,,,6406,8565,3649,4801
78,2002,10,4,,6124,7696,,,5440,7167,3719,4553
79,2002,11,4,,4915,6001,,,5415,6708,2758,3254
80,2002,12,4,,5601,7284,,,4422,5573,3683,4655
81,2003,01,1,,5235,6219,,,5897,7234,2772,3234
82,2003,02,1,,3637,4159,,,3506,3966,2333,2728
83,2003,03,1,,5191,6865,,,4034,5117,3439,4390
84,2003,04,2,,4859,5851,,,5228,6467,2659,3149
85,2003,05,2,,4748,5385,,,4491,5141,3072,3561
86,2003,06,2,,5652,6776,,,4615,5282,3597,4390
87,2003,07,3,,7484,8805,,,5725,6722,5165,6142
88,2003,08,3,,5327,5963,,,6534,7635,3392,3715
89,2003,09,3,,5956,7530,,,5181,5849,4191,5560
90,2003,10,4,,7849,10518,,,6613,8503,5269,7083
91,2003,11,4,,5989,8121,,,6852,8935,3806,5227
92,2003,12,4,,6227,8602,,,6427,8631,3712,5046
93,2004,01,1,,6804,9590,,,5389,7188,4648,6690
94,2004,02,1,,8041,12626,,,6467,9455,5495,8710
95,2004,03,1,,10377,16039,,,8530,13140,6611,10152
96,2004,04,2,,8161,12399,,,7857,11526,5235,8046
97,2004,05,2,,7642,11618,,,7047,10440,5069,7864
98,2004,06,2,,7880,11785,,,7095,10482,5065,7909
99,2004,07,3,,8018,11744,,,7524,10802,4680,7298
100,2004,08,3,,7477,11683,,,6253,9232,5062,8212
101,2004,09,3,,7714,12544,,,7190,11333,4872,7826
102,2004,10,4,,8969,15676,,,7307,12288,5837,10099
103,2004,11,4,,9249,14881,,,8535,13881,5922,9665
104,2004,12,4,,9152,15135,,,8919,13781,5731,9639
105,2005,01,1,,9026,14780,,,8060,12427,5744,10125
106,2005,02,1,,7582,13131,,,7490,12789,4925,8662
107,2005,03,1,,10779,19016,,,8136,13623,7570,13587
108,2005,04,2,,13073,22370,,,10061,17790,9120,15393
109,2005,05,2,,10425,16971,,,11032,18260,6798,11237
110,2005,06,2,,9066,14831,,,10216,16712,5517,9101
111,2005,07,3,,6343,9930,,,6896,10955,4311,6817
112,2005,08,3,,6525,9991,,,5808,8601,4463,7094
113,2005,09,3,,6151,9831,,,5560,8525,4142,6574
114,2005,10,4,,5982,9626,,,5114,7847,4047,6466
115,2005,11,4,,5592,8726,,,5094,7776,3729,5933
116,2005,12,4,,4989,7676,,,4927,7509,3279,5253
117,2006,01,1,,4842,7557,,,4011,5985,3410,5593
118,2006,02,1,,4677,7735,,,4581,7503,3064,5300
119,2006,03,1,,7520,12611,,,4808,7486,4911,8669
120,2006,04,2,,6774,11467,,,5626,8890,4237,7498
121,2006,05,2,,7944,13728,,,6205,10035,5282,9728
122,2006,06,2,,7387,12853,,,7644,12495,4423,8072
123,2006,07,3,,5754,9711,,,5739,10419,3699,6252
124,2006,08,3,,7338,12682,,,5242,8429,5239,9208
125,2006,09,3,,6780,11532,,,5923,9712,4824,8360
126,2006,10,4,,6727,11759,,,5971,9665,4647,8382
127,2006,11,4,,8326,15669,,,6291,10526,5776,11394
128,2006,12,4,,7599,13333,,,7732,13972,4774,7944
129,2007,01,1,,7393,12478,,,7020,11263,4862,8535
130,2007,02,1,,6244,10357,,,4731,7826,4869,8077
131,2007,03,1,,9198,16298,,,7201,12140,6397,11308
132,2007,04,2,,8230,14457,,,6429,10753,5996,10536
133,2007,05,2,,10335,17737,,,8651,13936,7105,12421
134,2007,06,2,,9482,17311,,,9291,16367,6345,11401
135,2007,07,3,,9812,17425,,,8304,14154,6885,12369
136,2007,08,3,,10824,19323,,,8903,16123,7676,13641
137,2007,09,3,,8465,15096,,,8348,14962,6036,10486
138,2007,10,4,,11986,22947,,,9000,15915,8509,16632
139,2007,11,4,,13911,27660,,,9833,18696,10088,20105
140,2007,12,4,,11226,22795,,,10910,21373,7609,15178
141,2008,01,1,,14126,29442,,,11673,23614,9631,20144
142,2008,02,1,,11260,23487,,,9422,18356,7669,16279
143,2008,03,1,,11056,24704,,,9634,20616,7571,17004
144,2008,04,2,,11514,24177,,,9486,20362,7437,15236
145,2008,05,2,,10825,21431,,,8679,17243,7579,14981
146,2008,06,2,,10993,22103,,,8479,16716,7682,15433
147,2008,07,3,,9323,18429,,,9439,17318,5973,11992
148,2008,08,3,,6796,13459,,,6160,12197,4665,8994
149,2008,09,3,,7444,14513,,,6045,11641,5026,9859
150,2008,10,4,,6890,13658,,,5864,11344,4481,8889
151,2008,11,4,,4554,8476,,,4287,8121,3100,5701
152,2008,12,4,,5405,10408,,,3642,7226,3973,7679
153,2009,01,1,,5834,11240,,,3282,6145,4608,8812
154,2009,02,1,,5765,11410,,,3925,7110,4607,9161
155,2009,03,1,,8213,16661,,,4462,8922,6664,13491
156,2009,04,2,,10783,21898,,,5589,10643,8776,17924
157,2009,05,2,,13248,28125,,,7674,15163,10117,21380
158,2009,06,2,,17105,38395,,,10219,20385,12681,29178
159,2009,07,3,,16407,37261,,,11873,25988,11662,26477
160,2009,08,3,,15339,34213,,,9762,19942,12161,27715
161,2009,09,3,,14950,33341,,,10912,23339,11614,26321
162,2009,10,4,,12934,28969,,,10076,21129,10217,23578
163,2009,11,4,,11201,25750,,,9592,20873,8645,20344
164,2009,12,4,,11106,24153,,,9187,19656,8743,19573
165,2010,01,1,,13316,29551,,,7746,17339,11240,24895
166,2010,02,1,,12037,26565,,,7831,17082,10320,23000
167,2010,03,1,,16281,36856,,,13071,27385,12362,28698
168,2010,04,2,,15907,37725,,,10933,25675,12556,30199
169,2010,05,2,,16164,37779,,,12509,28929,11981,27745
170,2010,06,2,,15345,35418,,,13521,30817,11187,25818
171,2010,07,3,,16837,40842,,,11331,25928,13037,32055
172,2010,08,3,,17114,40317,,,13540,33145,12455,28768
173,2010,09,3,,13835,31497,,,14525,33942,9159,20699
174,2010,10,4,,13257,30797,,,10840,25088,10105,23122
175,2010,11,4,,16230,37576,,,12130,27873,12131,27735
176,2010,12,4,,12879,28940,,,14016,31013,8679,19730
177,2011,01,1,,12351,28002,,,9728,21721,9827,22770
178,2011,02,1,,12538,30312,,,8049,18263,10350,25142
179,2011,03,1,,17207,43504,,,12993,30596,13050,33320
180,2011,04,2,,10872,27552,,,10957,26904,8380,20993
181,2011,05,2,,12493,31633,,,10403,26532,9729,24578
182,2011,06,2,,10726,26560,,,10097,24048,7738,19584
183,2011,07,3,,7177,17620,,,8119,20210,5236,12951
184,2011,08,3,,6780,15797,,,6327,14749,5003,11915
185,2011,09,3,,6063,14607,,,5816,13811,4430,10693
186,2011,10,4,,5439,12468,,,5020,11486,3831,9042
187,2011,11,4,,4885,11883,,,4498,10564,3662,8791
188,2011,12,4,,4158,10362,,,3847,8891,3113,7906
189,2012,01,1,,3975,9970,,,2684,6078,3277,8467
190,2012,02,1,,5836,14364,,,3209,7645,4829,12012
191,2012,03,1,,11414,28078,,,4774,11223,9589,24032
192,2012,04,2,,10046,25368,,,7367,17439,7975,20495
193,2012,05,2,,10388,26678,,,8088,19454,8019,20968
194,2012,06,2,,8164,21247,,,8048,20150,5984,15929
195,2012,07,3,,7472,19536,,,6584,16112,5878,15875
196,2012,08,3,,9594,25206,,,6459,16414,7612,20368
197,2012,09,3,,8621,22401,,,7239,18284,6695,17970
198,2012,10,4,,8828,24708,,,7524,19032,6891,19781
199,2012,11,4,,8593,24147,,,7893,21158,6225,18061
200,2012,12,4,,5583,15187,,,6874,18865,3962,11182
201,2013,01,1,,7738,21244,,,5997,15861,5828,16538
202,2013,02,1,,6498,18638,,,4641,12212,5297,15671
203,2013,03,1,,7526,21639,,,6673,18567,5535,16250
204,2013,04,2,,5860,16217,,,5439,14965,4427,12516
205,2013,05,2,,5796,15469,,,5234,14463,4374,12040
206,2013,06,2,,5925,15651,,,4753,12822,4571,12426
207,2013,07,3,,6140,15842,,,4770,12199,4489,11931
208,2013,08,3,,5399,14493,,,4552,11476,4089,11371
209,2013,09,3,,4904,13516,,,4512,11627,3719,10527
210,2013,10,4,,5535,14915,,,4264,11207,4220,11571
211,2013,11,4,,5241,14602,,,4259,11162,4044,11559
212,2013,12,4,,4862,13773,,,4478,12043,3633,10710
213,2014,01,1,,5799,17265,,,4117,11297,4504,14079
214,2014,02,1,,5103,15578,,,4212,12399,4108,12663
215,2014,03,1,,6249,19264,,,4470,13488,4919,15278
216,2014,04,2,,6326,19645,,,5494,15950,4893,15557
217,2014,05,2,,7444,22749,,,5201,16322,6024,18599
218,2014,06,2,,7990,25047,,,5699,17585,6526,20466
219,2014,07,3,,8995,28286,,,6296,18627,7459,23859
220,2014,08,3,,8680,27381,,,6305,18895,7287,23350
221,2014,09,3,,8104,26569,,,7561,23344,6428,21635
222,2014,10,4,,8494,28383,,,7072,23105,6765,23066
223,2014,11,4,,7258,23821,,,6294,20886,5924,19749
224,2014,12,4,,7606,24993,,,6889,21933,6019,20187
225,2015,01,1,,9103,30341,,,6483,21342,7337,24776
226,2015,02,1,,8147,26656,,,5106,16041,7001,23301
227,2015,03,1,,8183,28060,,,8898,29195,6041,21098
228,2015,04,2,,6690,22767,,,6189,20598,5310,18377
229,2015,05,2,,7952,26631,,,5570,18525,6581,22450
230,2015,06,2,,8785,29864,,,5852,19284,6961,24054
231,2015,07,3,,8112,27238,,,8170,27694,6281,21665
232,2015,08,3,,6981,24026,,,7025,23467,5481,19483
233,2015,09,3,,6154,21069,,,6186,20321,4648,16527
234,2015,10,4,,5125,16996,,,5416,18828,3792,12972
235,2015,11,4,,4649,15413,,,4664,15631,3435,11641
236,2015,12,4,,4829,15890,,,3887,12883,3747,12539
237,2016,01,1,,4668,15588,,,3816,12523,3669,12336
238,2016,02,1,,3926,12764,,,3384,10495,3080,10268
239,2016,03,1,,4704,15386,,,4605,15220,3495,11343
240,2016,04,2,,5967,19754,,,3342,10520,4845,16253
241,2016,05,2,,7011,23016,,,4923,15340,5492,18416
242,2016,06,2,,6842,22274,,,5663,17769,5254,17364
243,2016,07,3,,6784,22881,,,4837,15798,5428,18338
244,2016,08,3,,8764,29622,,,5497,17393,7179,24517
245,2016,09,3,,9356,32126,,,7019,23234,7279,25222
246,2016,10,4,,9830,34288,,,6733,23091,7806,27414
247,2016,11,4,,10664,38512,,,7767,26468,8372,30511
248,2016,12,4,10505,8961,32470,50.8,314,8323,29556,6593,24012
249,2017,01,1,10022,7818,28730,50.1,312,7027,25439,6205,23021
250,2017,02,1,10013,7554,28114,50.3,318,6204,21675,5979,22310
251,2017,03,1,15667,10123,37650,50.9,316,7004,25344,7978,29951
252,2017,04,2,13095,8343,32526,50.7,317,5996,21631,6910,27242
253,2017,05,2,14906,11038,42354,50.5,318,7909,29355,8732,33937
254,2017,06,2,14876,11737,44984,48.9,320,8850,32899,9358,36175
255,2017,07,3,9191,9093,34570,48.2,316,8639,33137,7055,27145
256,2017,08,3,11036,8159,30631,48.2,315,7776,28877,6491,24730
257,2017,09,3,11484,7894,30105,47.9,312,7375,28550,6224,23543
258,2017,10,4,11382,7970,29575,49,323,6076,22087,6572,24729
259,2017,11,4,12369,9491,36394,48.5,320,7094,26797,7535,29041
260,2017,12,4,10655,7268,28382,48.5,321,6434,23657,5808,23103
261,2018,01,1,14334,9916,38957,49,321,7197,27996,7907,31286
262,2018,02,1,11428,8404,33164,48.8,319,5479,21467,7066,27946
263,2018,03,1,14032,10137,41003,48.9,320,7853,30407,7893,32043
264,2018,04,2,15680,9649,38856,48,319,6999,27461,8024,32125
265,2018,05,2,14777,11182,44628,47.2,318,8059,32348,9176,36542
266,2018,06,2,14860,10362,42302,46.9,317,9001,35526,8395,34787
267,2018,07,3,14416,11090,45824,46.9,319,7886,31564,9213,38059
268,2018,08,3,18254,12003,49190,45.3,321,8484,33553,9960,41205
269,2018,09,3,8064,7856,32140,44.3,319,8485,33873,6402,26486
270,2018,10,4,10895,7557,30660,44.5,319,7988,31777,6024,24547
271,2018,11,4,9623,7545,30459,45.6,319,6539,26429,6087,24751
272,2018,12,4,7562,5874,24181,46.2,320,5501,21926,4900,20160
273,2019,01,1,11652,7132,28650,45.9,316,7338,30672,5624,22724
274,2019,02,1,10241,6529,26463,47.5,322,4334,16944,5672,23110
275,2019,03,1,15891,9200,37998,47.6,319,5240,20364,7766,32334
276,2019,04,2,15199,9850,40814,48,320,5588,21792,8536,35706
277,2019,05,2,17634,12262,53211,47,319,8514,34051,10174,44930
278,2019,06,2,12873,10756,45451,47.3,323,9121,39195,8964,38060
279,2019,07,3,15439,11371,47595,46.1,321,9841,41437,9435,39731
280,2019,08,3,11461,11345,46885,46.4,322,8828,37239,9877,40926
281,2019,09,3,9828,8706,36141,45.8,322,8778,35621,7452,31172
282,2019,10,4,9376,7839,33408,47.8,319,6846,28079,6827,29210
283,2019,11,4,9477,6611,28573,51,327,5439,23195,5949,25748
284,2019,12,4,7871,6171,27011,53.2,327,5139,21762,5343,23823
285,2020,01,1,9152,5710,25203,52.5,324,5723,23895,4738,21516
286,2020,02,1,8542,5632,23863,54.6,326,4515,18903,4665,20181
287,2020,03,1,13053,7571,33269,56.1,327,4923,20869,6436,28565
288,2020,04,2,10848,7367,32510,58.2,328,4104,17328,6432,28906
289,2020,05,2,15019,8749,40950,58.2,330,5622,23640,7665,36598
290,2020,06,2,13829,10032,47626,58.3,331,6902,29268,8709,42212
291,2020,07,3,13246,9019,42959,58.3,330,6806,31410,7766,37793
292,2020,08,3,10846,7918,37738,56.7,329,6459,30300,6990,33893
293,2020,09,3,12288,7826,37116,57,328,6053,27756,6886,33302
294,2020,10,4,10908,7311,34626,57.3,331,4863,22278,6559,31535
295,2020,11,4,11375,7986,37189,57.3,331,5710,25542,6871,32796
296,2020,12,4,11396,8039,38447,56.9,330,5660,26476,6924,33256
297,2021,01,1,13112,8073,37780,58,330,5362,24923,7193,34152
298,2021,02,1,12455,7926,38145,58.4,328,4344,19323,7236,35076
299,2021,03,1,17946,11074,53026,57.7,331,6495,30209,9736,47161
300,2021,04,2,16568,10374,50767,57.3,329,6287,29497,9367,46413
301,2021,05,2,15904,11584,56665,56.6,329,7555,35710,10323,50967
302,2021,06,2,15326,11477,58381,56.2,329,8226,39090,10183,52479
303,2021,07,3,15176,10952,54396,55.8,330,8054,39266,9673,48517
304,2021,08,3,13927,10895,54310,54.3,330,8098,39620,9559,48369
305,2021,09,3,13327,10341,52893,55.3,331,8300,40279,9165,47364
306,2021,10,4,11340,9628,48997,55.3,333,6567,31888,8756,44924
307,2021,11,4,12828,10122,51365,54.6,333,6688,33379,9144,46470
308,2021,12,4,10810,9000,44319,53.3,329,7091,36311,7957,39228
309,2022,01,1,10501,8607,42240,54.2,331,6534,31343,7625,37753
310,2022,02,1,6592,5274,26328,55.3,330,5044,23958,4819,24075
311,2022,03,1,9818,6837,34651,57.2,333,5311,25671,5979,30724
312,2022,04,2,11830,7435,38154,58.6,333,4047,19332,6791,35247
313,2022,05,2,12892,10631,54642,60.7,334,4719,23123,10029,51938
314,2022,06,2,10938,9985,51406,57.1,330,6075,29480,9177,47789
315,2022,07,3,9497,7901,40067,55.9,330,6157,30761,7312,37100
316,2022,08,3,10907,7857,38514,55.7,330,6148,30386,7223,35789
317,2022,09,3,8727,6994,34057,54.4,329,5441,25904,6402,31328
318,2022,10,4,7280,6341,32473,55.8,329,4436,21049,5852,29882
319,2022,11,4,7792,5840,28224,55.2,329,4481,21268,5251,25840
320,2022,12,4,7510,5255,25574,57.1,329,4591,21858,4652,22756
321,2023,01,1,7342,5353,26484,59.3,332,3485,17237,4979,24779
322,2023,02,1,9719,7170,34185,60.8,336,3578,17332,6610,31293
323,2023,03,1,11553,9364,44942,59.6,330,4027,18235,8576,41478
324,2023,04,2,8368,7132,35396,58.9,331,3832,17056,6766,33740
325,2023,05,2,9530,8591,42589,57.5,330,5071,23919,7947,39459
326,2023,06,2,8250,7079,34335,54.8,326,6013,28527,6473,31587
327,2023,07,3,8086,5754,28076,53.3,326,5401,26326,5243,25673
328,2023,08,3,8617,7042,35623,54.7,323,4389,20917,6385,32454
329,2023,09,3,8787,5130,25516,54.5,323,4164,20096,4702,23608
330,2023,10,4,5359,5016,24944,55.2,326,4054,20204,4613,22938
331,2023,11,4,6000,5124,24530,57.1,326,3384,16150,4806,23206
