IDX,Year,Month,Quarter,Outstanding Loans Value,Delinquency Ratio,Rescheduled Loans Ratio
2,1996,06,2,297515,,
3,1996,07,3,302996,,
4,1996,08,3,304784,,
5,1996,09,3,307843,,
6,1996,10,4,313886,,
7,1996,11,4,319902,,
8,1996,12,4,330426,,
9,1997,01,1,338890,,
10,1997,02,1,347877,,
11,1997,03,1,353377,,
12,1997,04,2,361879,,
13,1997,05,2,371783,,
14,1997,06,2,379607,,
15,1997,07,3,395352,,
16,1997,08,3,406916,,
17,1997,09,3,419020,,
18,1997,10,4,420809,,
19,1997,11,4,425784,,
20,1997,12,4,425469,,
21,1998,01,1,428385,,
22,1998,02,1,430975,,
23,1998,03,1,436433,,
24,1998,04,2,439284,,
25,1998,05,2,441367,,
26,1998,06,2,444148,0.29,
27,1998,07,3,447240,0.34,
28,1998,08,3,450124,0.44,
29,1998,09,3,451828,0.53,
30,1998,10,4,451725,0.68,
31,1998,11,4,455863,0.78,
32,1998,12,4,459338,0.84,
33,1999,01,1,461047,0.96,
34,1999,02,1,462680,1.07,
35,1999,03,1,465176,1.13,
36,1999,04,2,467793,1.16,
37,1999,05,2,473124,1.16,
38,1999,06,2,477818,1.14,
39,1999,07,3,479486,1.13,
40,1999,08,3,478359,1.11,
41,1999,09,3,478214,1.12,
42,1999,10,4,477818,1.16,
43,1999,11,4,477238,1.17,
44,1999,12,4,478244,1.13,
45,2000,01,1,478343,1.16,
46,2000,02,1,478097,1.17,
47,2000,03,1,478457,1.16,
48,2000,04,2,480189,1.18,
49,2000,05,2,480318,1.19,
50,2000,06,2,480043,1.23,
51,2000,07,3,479607,1.27,
52,2000,08,3,482056,1.26,
53,2000,09,3,481458,1.28,
54,2000,10,4,481910,1.31,
55,2000,11,4,483827,1.31,
56,2000,12,4,521701,1.32,
57,2001,01,1,519880,1.37,
58,2001,02,1,518724,1.4,
59,2001,03,1,518742,1.42,
60,2001,04,2,519497,1.43,
61,2001,05,2,519097,1.42,
62,2001,06,2,518773,1.35,
63,2001,07,3,521066,1.31,
64,2001,08,3,524209,1.28,
65,2001,09,3,524489,1.28,
66,2001,10,4,523682,1.27,0.24
67,2001,11,4,524200,1.25,0.25
68,2001,12,4,528518,1.22,0.26
69,2002,01,1,531818,1.22,0.3
70,2002,02,1,532425,1.2,0.34
71,2002,03,1,532908,1.18,0.38
72,2002,04,2,533875,1.16,0.41
73,2002,05,2,536756,1.14,0.44
74,2002,06,2,537614,1.1,0.46
75,2002,07,3,536906,1.07,0.45
76,2002,08,3,535372,1.09,0.47
77,2002,09,3,537068,1.08,0.46
78,2002,10,4,535309,1.11,0.46
79,2002,11,4,535333,1.11,0.47
80,2002,12,4,533730,1.06,0.46
81,2003,01,1,533806,1.07,0.46
82,2003,02,1,531593,1.09,0.46
83,2003,03,1,528567,1.11,0.46
84,2003,04,2,528191,1.14,0.46
85,2003,05,2,526128,1.16,0.48
86,2003,06,2,523500,1.12,0.53
87,2003,07,3,522166,1.1,0.55
88,2003,08,3,522429,1.09,0.55
89,2003,09,3,520698,1.05,0.55
90,2003,10,4,521206,0.99,0.56
91,2003,11,4,522300,0.97,0.54
92,2003,12,4,522237,0.86,0.52
93,2004,01,1,521512,0.83,0.51
94,2004,02,1,523221,0.79,0.51
95,2004,03,1,525313,0.7,0.49
96,2004,04,2,525793,0.66,0.5
97,2004,05,2,524893,0.63,0.49
98,2004,06,2,524218,0.57,0.49
99,2004,07,3,524271,0.54,0.5
100,2004,08,3,523317,0.5,0.5
101,2004,09,3,523626,0.47,0.5
102,2004,10,4,524961,0.43,0.5
103,2004,11,4,527034,0.4,0.48
104,2004,12,4,527868,0.38,0.47
105,2005,01,1,529012,0.36,0.45
106,2005,02,1,531890,0.33,0.44
107,2005,03,1,533240,0.29,0.42
108,2005,04,2,536971,0.26,0.41
109,2005,05,2,540311,0.24,0.4
110,2005,06,2,543319,0.22,0.38
111,2005,07,3,542020,0.22,0.37
112,2005,08,3,540093,0.19,0.37
113,2005,09,3,538566,0.18,0.36
114,2005,10,4,536789,0.19,0.35
115,2005,11,4,535207,0.18,0.35
116,2005,12,4,533069,0.19,0.35
117,2006,01,1,531887,0.19,0.34
118,2006,02,1,531144,0.2,0.34
